application_id,age,monthly_income,loan_amount,previous_defaults,credit_score,default,leak_col_good,leak_col_subtle
501000,41,13995609,5982664,0,624,0,0,-0.04
501001,58,13683833,3711198,0,809,0,0,0.001
501002,33,9417391,7172332,0,647,0,0,0.077
501003,45,6861811,8661056,0,450,0,0,0.038
501004,22,5640742,4520669,1,816,0,0,0.02
501005,22,7783669,13057356,1,642,0,0,0.004
501006,22,15252800,4009613,1,515,0,0,-0.033
501007,35,17437764,3871786,0,807,0,0,0.061
501008,35,12499029,13703265,0,636,0,0,0.083
501009,38,11650601,12664024,0,422,0,0,0.033
501010,25,4689464,14801912,0,535,0,0,-0.008
501011,46,3252423,11247200,1,353,0,0,-0.005
501012,50,13695086,10720916,0,671,0,0,-0.019
501013,34,17358863,2735748,1,388,0,0,0.025
501014,25,7323836,6576346,0,834,0,0,0.006
501015,41,8010432,5529561,0,579,0,0,-0.028
501016,28,17784749,1979901,0,572,0,0,0.01
501017,26,13987315,8828245,0,742,0,0,-0.034
501018,46,4594577,4472329,0,508,0,0,0.038
501019,24,17630973,2758195,0,417,0,0,0.046
501020,50,7288230,1440782,0,318,0,0,0.057
501021,55,10975019,2102429,0,624,0,0,0.013
501022,47,10803049,4631906,0,572,0,0,-0.013
501023,47,5195630,8939213,0,652,0,0,-0.068
501024,25,7809845,3380630,0,402,0,0,0.024
501025,31,12871140,4999366,0,433,0,0,0.006
501026,55,8640963,9561773,0,474,0,0,0.094
501027,31,19569994,2589465,0,803,0,0,0.031
501028,58,11806990,8312137,1,438,0,0,-0.002
501029,58,14536974,9891899,0,327,0,0,0.017
501030,25,14549340,1181597,1,405,0,0,0.03
501031,57,9273136,14713097,0,546,0,0,0.064
501032,57,11894250,4934489,0,432,0,0,0.01
501033,46,17686758,12407093,0,585,0,0,-0.001
501034,53,13809623,6996433,0,389,0,0,-0.049
501035,53,12226804,10467840,0,355,0,0,0.008
501036,43,13421376,11978306,0,412,0,0,0.004
501037,27,8204076,11792552,0,768,0,0,-0.022
501038,52,9261431,9901193,0,800,0,0,-0.025
