order_id,customer_id,order_date,payment_value,decoy_flag,decoy_noise
101000,684,2024-01-29,38.93,A,39.51
101001,207,2024-06-29,59.52,B,38.97
101002,288,2024-03-20,355.52,B,338.14
101003,571,2024-02-24,157.65,C,121.69
101004,871,2024-01-11,287.68,C,254.92
101005,236,2024-01-11,289.59,B,295.11
101006,593,2024-01-04,140.76,C,193.62
101007,429,2024-04-30,246.92,C,311.82
101008,951,2024-02-25,133.67,C,143.8
101009,989,2024-03-14,114.33,C,117.16
101010,689,2024-01-02,92.59,C,73.65
101011,829,2024-07-29,234.63,C,204.94
101012,552,2024-04-17,399.58,C,389.49
101013,82,2024-01-15,368.18,C,311.97
101014,162,2024-01-13,51.38,B,52.28
101015,113,2024-01-13,394.65,C,369.9
101016,601,2024-01-22,74.91,B,100.78
101017,524,2024-02-14,185.68,C,200.88
101018,493,2024-02-03,210.54,C,194.1
101019,399,2024-01-21,39.09,B,31.55
101020,875,2024-02-26,145.12,B,113.32
101021,472,2024-01-10,411.15,C,404.8
101022,265,2024-01-21,12.99,D,-5.79
101023,744,2024-01-28,714.54,A,688.41
101024,916,2024-02-06,19.71,D,-7.5
101025,89,2024-04-02,206.68,C,191.6
101026,367,2024-01-14,41.12,C,59.55
101027,216,2024-02-13,230.95,A,224.14
101028,561,2024-02-23,357.31,C,372.38
101029,986,2024-01-03,293.8,C,286.67
101030,270,2024-02-26,327.47,C,254.52
101031,901,2024-01-12,134.14,C,84.09
101032,894,2024-01-05,409.24,C,419.09
101033,816,2024-06-27,611.16,B,727.26
101034,825,2024-07-21,178.74,A,145.43
101035,861,2024-04-09,122.22,C,120.2
101036,572,2024-01-22,84.88,B,132.62
101037,456,2024-01-07,280.75,B,231.26
101038,337,2024-03-10,338.19,C,393.86
101039,758,2024-02-04,122.26,C,142.26
101040,299,2024-01-08,469.64,D,462.9
101041,214,2024-02-11,264.52,B,278.37
101042,594,2024-01-03,177.2,C,219.95
101043,859,2024-05-24,211.63,C,209.5
101044,64,2024-01-18,68.9,C,35.18
101045,770,2024-03-06,278.52,C,234.11
101046,769,2024-01-23,73.21,B,58.66
101047,630,2024-02-14,109.69,C,109.16
101048,832,2024-02-17,157.44,D,138.45
101049,489,2024-01-13,548.9,C,624.02
101050,328,2024-07-28,199.34,C,231.51
101051,853,2024-03-30,79.98,B,86.38
101052,536,2024-06-17,212.21,A,151.31
101053,386,2024-05-15,253.41,D,256.96
